query,start,end,day_count
from:DeLaCalleHum,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,0
from:DeLaCalleHum,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,1
from:DeLaCalleHum,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,3
from:QuinteroCalle,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,6
from:QuinteroCalle,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,7
from:QuinteroCalle,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,12
from:QuinteroCalle,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,12
from:QuinteroCalle,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,26
from:QuinteroCalle,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,39
from:QuinteroCalle,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,9
from:QuinteroCalle,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,6
from:QuinteroCalle,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,3
from:QuinteroCalle,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,5
from:QuinteroCalle,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,9
from:QuinteroCalle,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,27
from:QuinteroCalle,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,17
from:QuinteroCalle,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,17
from:RoyBarreras,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,4
from:RoyBarreras,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,2
from:RoyBarreras,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,3
from:RoyBarreras,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,6
from:RoyBarreras,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,18
from:RoyBarreras,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,19
from:RoyBarreras,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,3
from:RoyBarreras,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,1
from:RoyBarreras,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,0
from:RoyBarreras,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,1
from:RoyBarreras,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,4
from:RoyBarreras,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,2
from:RoyBarreras,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,3
from:RoyBarreras,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,26
from:AngelicaLozanoC,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,13
from:AngelicaLozanoC,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,8
from:AngelicaLozanoC,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,12
from:AngelicaLozanoC,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,21
from:AngelicaLozanoC,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,42
from:AngelicaLozanoC,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,35
from:AngelicaLozanoC,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,53
from:AngelicaLozanoC,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,81
from:AngelicaLozanoC,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,15
from:AngelicaLozanoC,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,12
from:AngelicaLozanoC,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,29
from:AngelicaLozanoC,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,23
from:AngelicaLozanoC,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,33
from:AngelicaLozanoC,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,15
from:CarlosFGalan,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,0
from:CarlosFGalan,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,3
from:CarlosFGalan,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,2
from:CarlosFGalan,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,4
from:CarlosFGalan,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,3
